Model,F1,Precision,Recall,AUC,Time
GradientBoosting,0.9533415190317488,0.9301728564093787,0.9776938298255082,0.9992385275955031,81.12664246559143
GNN-MLP (Proxy),0.8891235480464625,0.8702842377260982,0.9087965461413924,0.9979148860107229,416.5706977844238
TrustManager (Ours),0.9707893101305158,0.9584502103786816,0.9834502608382802,0.999622382339178,8.241263151168823
